acumen	 =	awareness	brilliance
adhere	 =	comply	observe
abolish	 =	abrogate	annual
abash	 =	disconcert	rattle
abound	 =	flourish	proliferate
abate	 =	moderate	decrease
abject	 =	despicable	servile
abjure	 =	forsake	renounce
abortive	 =	vain	unproductive
absolve	 =	pardon	forgive
accord	 =	agreement	harmony
acrimony	 =	harshness	bitterness
adamant	 =	stubborn	inflexible
adherent	 =	follower	disciple
adjunct	 =	joined	added
admonish	 =	counsel	reprove
adversity	 =	misfortune	calamity
alien	 =	foreigner	outsider
allay	 =	pacify	soothe
alleviate	 =	abate	relieve
allure	 =	entice	fascinate
ascend	 =	climb	escalate
amplify	 =	augment	deepen
arraign	 =	incriminate	indict
audacity	 =	boldness	courage
authentic	 =	accurate	credible
awkward	 =	rude	blundering
axiom	 =	adage	truism
baffle	 =	astound	faze
bewitching	 =	alluring	charming
bleak	 =	grim	austere
brittle	 =	breakable	crisp
bustle	 =	commotion	tumult
barbarous	 =	frustrate	perplex
baroque	 =	florid	gilt
barren	 =	desolate	sterile
barrier	 =	barricade	obstacle
base	 =	vulgar	coarse
batty	 =	insane	silly
bawdy	 =	erotic	coarse
befogged	 =	becloud	dim
benevolent	 =	benign	generous
benign	 =	favorable	friendly
bind	 =	predicament	
bleak	 =	austere	blank
blunt	 =	dull	insensitive
boisterous	 =	clamorous	rowdy
bold	 =	adventurous	
busy	 =	active	engaged
calculating	 =	canny	devious
calamity	 =	adversity	misfortune
callous	 =	obdurate	unfeeling
calumny	 =	defamation	aspersion
capable	 =	competent	able
captivate	 =	charm	fascinate
captivity	 =	imprisonment	confinement
cease	 =	terminate	desist
chaste	 =	virtuous	pure
chastise	 =	punish	admonish
compassion	 =	kindness	sympathy
comprise	 =	include	contain
concede	 =	yield	permit
concur	 =	approve	agree
consent	 =	agree	permit
consequence	 =	effect	outcome
consolidate	 =	solidify	strengthen
conspicuous	 =	prominent	obvious
contempt	 =	scorn	disregard
contradict	 =	deny	oppose
contrary	 =	dissimilar	conflicting
calm	 =	harmonious	unruffled
callous	 =	insensitive	indurated
camouflage	 =	cloak	disguise
candid	 =	blunt	bluff
captivate	 =	beguile	bewitch
carnal	 =	earthly	fleshly
catholic	 =	generic	liberal
celebrated	 =	acclaimed	lionized
cement	 =	plaster	mortar
censure	 =	rebuke	reprimand
cheap	 =	competitive	inexpensive
clandestine	 =	covert	fruitive
classic	 =	simple	typical
coarse	 =	bawdy	boorish
comic	 =	clown	jester
compact	 =	bunched	thick
compress	 =	abbreviate	shrink
conceit	 =	egotism	immodesty
concord	 =	agreement	accord
condemn	 =	castigate	chide
confident	 =	bold	undaunted
consolidate	 =	centralize	fortify
courtesy	 =	generosity	reverence
creation	 =	formation	foundation
cunning	 =	acute	smart
decay	 =	collapse	decompose
deceit	 =	deception	artifice
decipher	 =	interpret	reveal
defile	 =	contaminate	pollute
defray	 =	spend	pay
deliberate	 =	cautious	intentional
demolish	 =	ruin	devastate
deprive	 =	despoil	divest
deride	 =	mock	taunt
disdain	 =	detest	despise
dissuade	 =	remonstrate	counsel
denounce	 =	blame	boycott
dense	 =	opaque	piled
derogatory	 =	sarcastic	critical
despair	 =	depression	misery
destructive	 =	catastrophic	pernicious
docile	 =	pliable	pliant
dwarf	 =	diminutive	petite
eager	 =	keen	acquisitive
eclipse	 =	diminution	dimming
eccentric	 =	strange	abnormal
ecstasy	 =	delight	exultation
efface	 =	destroy	obliterate
eloquence	 =	expression	fluency
encumbrance	 =	hindrance	obstacle
endeavour	 =	undertake	aspire
enormous	 =	colossal	mammoth
epitome	 =	precise	example
equivocal	 =	uncertain	hazy
eradicate	 =	destroy	exterminate
fabricate	 =	construct	produce
fallacy	 =	delusion	mistake
falter	 =	stumble	demur
fanatical	 =	narrow-minded	biased
feeble	 =	weak	frail
ferocious	 =	cruel	fierce
feud	 =	strife	quarrel
fluctuate	 =	deflect	vacillate
forsake	 =	desert	renounce
fragile	 =	weak	infirm
frantic	 =	violent	agitated
frivolous	 =	petty	worthless
frugality	 =	economy	providence
gather	 =	converge	huddle
gloom	 =	obscurity	darkness
glut	 =	stuff	satiate
gorgeous	 =	magnificent	dazzling
gracious	 =	courteous	beneficent
grisly	 =	disgusting	atrocious
grudge	 =	hatred	aversion
guile	 =	cunning	deceit
generosity	 =	altruism	bounty
genuine	 =	absolute	factual
gloomy	 =	bleak	cloudy
glory	 =	dignity	renown
hamper	 =	retard	prevent
hapless	 =	unfortunate	ill-fated
harass	 =	irritate	molest
haughty	 =	arrogant	pompous
hazard	 =	peril	danger
heretic	 =	non-conformist	secularist
hideous	 =	frightful	shocking
hamstrung	 =	cripple	debilitate
harmony	 =	conformity	amicability
hasty	 =	abrupt	impetuous
honor	 =	adoration	reverence
humble	 =	meek	timid
humility	 =	resignation	fawning
hypocrisy	 =	deception	pharisaism
impenitent	 =	uncontrite	obdurate
impulsive	 =	flaky	impetuous
indifferent	 =	equitable	haughty
indigent	 =	destitute	impoverished
infernal	 =	damned	accursed
insipid	 =	tedious	prosaic
interesting	 =	enchanting	riveting
immaculate	 =	unsullied	spotless
immense	 =	huge	enormous
immerse	 =	submerge	involve
imminent	 =	impending	brewing
immunity	 =	prerogative	privilege
impair	 =	diminish	deteriorate
impartial	 =	just	unbiased
impediment	 =	hurdle	obstruction
impious	 =	irreligious	unholy
impute	 =	attribute	ascribe
inclination	 =	disposition	affection
incompetent	 =	inefficient	unskilled
incongruous	 =	inappropriate	absurd
inevitable	 =	unavoidable	ascertained
infringe	 =	violate	encroach
ingenuous	 =	undisguised	naive
insinuate	 =	allude	hint
insipid	 =	tasteless	vapid
insolvent	 =	indigent	destitute
instill	 =	inculcate	inject
intricate	 =	tangled	complicated
intrigue	 =	scheme	conspiracy
intrinsic	 =	genuine	fundamental
invective	 =	accusation	censure
invincible	 =	unconquerable	impregnable
irrepressible	 =	irresistible	unconfined
immaculate	 =	exquisite	impeccable
jaded	 =	tired	exhausted
jejune	 =	dull	boring
jovial	 =	frolicsome	cheerful
jubilant	 =	rejoicing	triumphant
judicious	 =	thoughtful	prudent
just	 =	honest	impartial
justify	 =	defend	exculpate
juvenile	 =	young	tender
keen	 =	sharp	poignant
kindred	 =	relation	species
knave	 =	dishonest	scoundrel
knell	 =	death knell	last blow
knotty	 =	complicated	difficult
lavish	 =	abundant	excessive
lax	 =	slack	careless
lenient	 =	compassionate	merciful
liable	 =	accountable	bound
liberal	 =	magnanimous	generous
linger	 =	loiter	prolong
lucid	 =	sound	rational
lunacy	 =	delusion	insanity
lure	 =	attract	entice
luscious	 =	palatable	delicious
luxuriant	 =	profuse	abundant
languid	 =	sluggish	apathetic
malice	 =	vengefulness	grudge
mandatory	 =	imperative	requisite
masculine	 =	gallant	strapping
merit	 =	stature	asset
miraculous	 =	marvelous	extraordinary
mitigate	 =	alleviate	relieve
modest	 =	humble	courteous
molest	 =	harass	tease
mollify	 =	appease	assuage
momentous	 =	notable	eventful
monotonous	 =	irksome	tedious
morbid	 =	nasty	macabre
munificent	 =	liberal	hospitable
murky	 =	dusky	dreary
mutinous	 =	recalcitrant	insurgent
mutual	 =	joint	identical
niggardly	 =	miser	covetous
nimble	 =	prompt	brisk
nonchalant	 =	indifferent	negligent
novice	 =	tyro	beginner
noxious	 =	baneful	injurious
nullify	 =	cancel	annual
notion	 =	conceit	apprehension
numerous	 =	profuse	various
obstruct	 =	impede	prevent
obliging	 =	complaisant	willing
obscure	 =	arcane	vague
obstinate	 =	stubborn	adamant
obtain	 =	access	inherit
obvious	 =	evident	apparent
odious	 =	malevolent	obnoxious
offensive	 =	abhorrent	obnoxious
occult	 =	latent	ambiguous
offspring	 =	descendant	sibling
ominous	 =	menacing	foreboding
opaque	 =	obscure	shady
optimist	 =	idealist	
oracular	 =	cryptic	vague
ordain	 =	order	impose
ornamental	 =	decorative	adorned
outbreak	 =	eruption	insurrection
outrage	 =	offence	maltreatment
pacify	 =	appease	chasten
persuade	 =	cajole	impress
perturbed	 =	flustered	anxious
propagate	 =	inseminate	fecundate
progress	 =	pace	betterment
prompt	 =	precise	punctual
prudence	 =	vigilance	discretion
pamper	 =	flatter	indulge
paramount	 =	foremost	eminent
peerless	 =	matchless	unrivalled
peevish	 =	perverse	sullen
pertness	 =	flippancy	impudence
perverse	 =	petulant	obstinate
placid	 =	tranquil	calm
pompous	 =	haughty	arrogant
precarious	 =	doubtful	insecure
predicament	 =	plight	dilemma
quack	 =	impostor	deceiver
quaint	 =	queer	strange
quarantine	 =	seclude	screen
quell	 =	subdue	reduce
quibble	 =	equivocate	prevaricate
raid	 =	incursion	foray
rapidity	 =	quickness	velocity
reason	 =	acumen	bounds
rebellious	 =	restless	attacking
rectify	 =	amend	remedy
reluctant	 =	cautious	averse
restrain	 =	detain	confine
ratify	 =	consent	approve
ravage	 =	destroy	ruin
redeem	 =	recover	liberate
remnant	 =	residue	piece
remonstrate	 =	censure	protest
remorse	 =	regret	penitence
rescind	 =	annul	abrogate
resentment	 =	displeasure	wrath
retract	 =	recant	withdraw
